,Data ID,Data Name,Data Length,Priority,Read/Write,Write Protect Register,Byte 8,Byte 7,Byte 6,Byte 5,Byte 4,Byte 3,Byte 2,Byte 1,Description,Bit Width Per Register,Sign or Unsigned,"Comments
1. Even Parity for R/W registers at the byte level, Mod 2 = 0
2. Byte 8-7 is reserved for packet counter",Default Value [TBD]
Telemetry - Raw ADC counts,0x00,Telemetry Group 1,8,4,Read Only,N/A,RSVD,RSVD,"{4b0000, BATT2_CURR[11:8]}",BATT2_CURR[7:0],"{4b0000, BATT1_CURR[11:8]}",BATT1_CURR[7:0],"{4b0000, CHG_CURR[11:8]}",CHG_CURR[7:0],"Byte 8-7: Reserved
Byte 6-5: Battery 2 Current (BATT2_CURR), 12-BIT
Byte 4-3: Battery 1 Current (BATT1_CURR), 12-BIT
Byte 2-1: Charger Current (CHG_CURR), 12-BIT",12-bit,unsigned,,
,0x01,Telemetry Group 2,8,4,Read Only,N/A,RSVD,RSVD,"{4b0000, LA_IMON[11:8]}",LA_IMON[7:0],"{4b0000, RL_IMON[11:8]}",RL_IMON[7:0],"{4b0000, LL_IMON[11:8]}",LL_IMON[7:0],"Byte 8-7: Reserved
Byte 6-5: Left Arm Current (LA_IMON), 12-BIT
Byte 4-3: Right Leg Current (RL_IMON), 12-BIT
Byte 2-1: Left Leg Current (LL_IMON), 12-BIT",12-bit,unsigned,,
,0x02,Telemetry Group 3,8,4,Read Only,N/A,RSVD,RSVD,"{4b0000, CHG_IN[11:8]}",CHG_IN[7:0],"{4b0000, TR_IMON[11:8]}",TR_IMON[7:0],"{4b0000, RA_IMON[11:8]}",RA_IMON[7:0],"Byte 8-7: Reserved
Byte 6-5: Charger Input Voltage (CHG_IN), 12-BIT
Byte 4-3: Pelvis/Waist Current (TR_IMON), 12-BIT
Byte 2-1: Right Arm Current (RA_IMON), 12-BIT",12-bit,unsigned,,
,0x03,Telemetry Group 4,8,4,Read Only,N/A,RSVD,RSVD,"{4b0000, BATT2_IN[11:8]}",BATT2_IN[7:0],"{4b0000, BATT1_IN[11:8]}",BATT1_IN[7:0],"{4b0000, HV[11:8]}",HV[7:0],"Byte 8-7: Reserved
Byte 6-5: Battery 2 Input Voltage (BATT2_IN), 12-BIT
Byte 4-3: Battery 1 Input Voltage (BATT1_IN), 12-BIT
Byte 2-1: High Voltage Bus Voltage (HV), 12-BIT",12-bit,unsigned,,
,0x04,Telemetry Group 5,8,4,Read Only,N/A,RSVD,RSVD,"{4b0000, CHG_HV[11:8]}",CHG_HV[7:0],"{4b0000, MOT_BUS[11:8]}",MOT_BUS[7:0],"{4b0000, NK_IMON[11:8]}",NK_IMON[7:0],"Byte 8-7: Reserved
Byte 6-5: Charger High Voltage (CHG_HV), 12-BIT
Byte 4-3: Motor Bus Voltage (MOT_BUS), 12-BIT
Byte 2-1: Head Current (NK_IMON), 12-BIT",12-bit,unsigned,,
,0x05,Telemetry Group 6,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,"{4b0000, USER_HV_CURR[11:8]}",USER_HV_CURR[7:0],"{4b0000, USER_HV[11:8]}",USER_HV[7:0],"Byte 8-7: Reserved
Byte 6-5: Reserved
Byte 4-3: User HV Current (USER_HV_CURR), 12-BIT
Byte 2-1: User HV Bus Voltage (USER_HV), 12-BIT",12-bit,unsigned,,
,0x06,Telemetry Group 7,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,"{4b0000, PC_24V_IMON[11:8]}",PC_24V_IMON[7:0],"{4b0000, PC_24V[11:8]}",PC_24V[7:0],"Byte 8-7: Reserved
Byte 6-5: Reserved
Byte 4-3: PC 24V Bus Current (PC_24V_IMON), 12-BIT
Byte 2-1: PC 24V Bus Voltage (PC_24V), 12-BIT",12-bit,unsigned,,
,0x07,Telemetry Group 8,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,"{4b0000, USER_24V_IMON[11:8]}",USER_24V_IMON[7:0],"{4b0000, USER_24V[11:8]}",USER_24V[7:0],"Byte 8-7: Reserved
Byte 6-5: Reserved
Byte 4-3: USER 24V Bus Current (USER_24V_IMON), 12-BIT
Byte 2-1: USER 24V Bus Voltage (USER_24V), 12-BIT",12-bit,unsigned,,
,0x08,Telemetry Group 9,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,"{4b0000, PC_A_12V_IMON[11:8]}",PC_A_12V_IMON[7:0],"{4b0000, PC_A_12V[11:8]}",PC_A_12V[7:0],"Byte 8-7: Reserved
Byte 6-5: Reserved
Byte 4-3: PC A 12V Bus Current (PC_A_12V_IMON), 12-BIT
Byte 2-1: PC A 12V Bus Voltage (PC_A_12V), 12-BIT",12-bit,unsigned,,
,0x09,Telemetry Group 10,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,"{4b0000, PC_B_12V_IMON[11:8]}",PC_B_12V_IMON[7:0],"{4b0000, PC_B_12V[11:8]}",PC_B_12V[7:0],"Byte 8-7: Reserved
Byte 6-5: Reserved
Byte 4-3: PC B 12V Bus Current (PC_B_12V_IMON), 12-BIT
Byte 2-1: PC B 12V Bus Voltage (PC_B_12V), 12-BIT",12-bit,unsigned,,
,0x0A,Telemetry Group 11,8,4,Read Only,N/A,RSVD,RSVD,"{4b0000, 24V_IMON2[11:8]}",24V_IMON2[7:0],"{4b0000, 24V_IMON1[11:8]}",24V_IMON1[7:0],"{4b0000, 24V_IMON0[11:8]}",24V_IMON0[7:0],"Byte 8-7: Reserved
Byte 6-5: 24V Module 2 Current (24V_IMON2), 12-BIT
Byte 4-3: 24V Module 1 Current (24V_IMON1), 12-BIT
Byte 2-1: 24V Module 0 Current (24V_IMON0), 12-BIT",12-bit,unsigned,,
,0x0B,Telemetry Group 12,8,4,Read Only,N/A,RSVD,RSVD,"{4b0000, 12V_IMON2[11:8]}",12V_IMON2[7:0],"{4b0000, 12V_IMON1[11:8]}",12V_IMON1[7:0],"{4b0000, 12V_IMON0[11:8]}",12V_IMON0[7:0],"Byte 8-7: Reserved
Byte 6-5: 12V A Module 2 Current (12V_IMON2), 12-BIT
Byte 4-3: 12V A Module 1 Current (12V_IMON1), 12-BIT
Byte 2-1: 12V A Module 0 Current (12V_IMON0), 12-BIT",12-bit,unsigned,,
,0x0C,Telemetry Group 13,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,"{4b0000, 12V_BUS_A_VOLTAGE[11:8]}",12V_BUS_A_VOLTAGE[7:0],"{4b0000, 24V_BUS_VOLTAGE[11:8]}",24V_BUS_VOLTAGE[7:0],"Byte 8-7: Reserved
Byte 6-5: Reserved
Byte 4-3: 12V Bus A Voltage, 12-BIT
Byte 2-1: 24V Bus Voltage, 12-BIT",12-bit,unsigned,,
,0x0D,Telemetry Group 14,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,"{4b0000, 5V_CURR[11:8]}",5V_CURR[7:0],"{4b0000, 5V[11:8]}",5V[7:0],"Byte 8-7: Reserved
Byte 6-5: Reserved
Byte 4-3: 5V Bus Current (5V_CURR), 12-BIT
Byte 2-1: 5V Bus Voltage (5V), 12-BIT",12-bit,unsigned,,
,0x0E,Telemetry Group 15,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,"{4b0000, 3.3V_CURR[11:8]}",3.3V_CURR[7:0],"{4b0000, 3.3V[11:8]}",3.3V[7:0],"Byte 8-7: Reserved
Byte 6-5: Reserved
Byte 4-3: 3.3V Bus Current (3.3V_CURR), 12-BIT
Byte 2-1: 3.3V Bus Voltage (3.3V), 12-BIT",12-bit,unsigned,,
,0x0F,Telemetry Group 16,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,"{4b0000, AUX_24V_CURR[11:8]}",AUX_24V_CURR[7:0],"{4b0000, AUX_24V[11:8]}",AUX_24V[7:0],"Byte 8-7: Reserved
Byte 6-5: Reserved
Byte 4-3: 24V AUX Bus Current (AUX_24V_CURR), 12-BIT
Byte 2-1: 24V AUX Bus Voltage (AUX_24V), 12-BIT",12-bit,unsigned,,
,0x10,Telemetry Group 17,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,"{4b0000, AUX_12V_CURR[11:8]}",AUX_12V_CURR[7:0],"{4b0000, AUX_12V[11:8]}",AUX_12V[7:0],"Byte 8-7: Reserved
Byte 6-5: Reserved
Byte 4-3: 12V AUX Bus Current (AUX_12V_CURR), 12-BIT
Byte 2-1: 12V AUX Bus Voltage (AUX_12V), 12-BIT",12-bit,unsigned,,
,0x11,Telemetry Group 18,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,"{4b0000, ESTOP_REC_B_12V[11:8]}",ESTOP_REC_B_12V[7:0],"{4b0000, ESTOP_REC_A_12V[11:8]}",ESTOP_REC_A_12V[7:0],"Byte 8-7: Reserved
Byte 6-5: Reserved
Byte 4-3: ESTOP B Receiver Voltage (ESTOP_REC_B_12V), 12-BIT
Byte 2-1: ESTOP A Receiver Voltage (ESTOP_REC_A_12V), 12-BIT",12-bit,unsigned,,
,0x12,Telemetry Group 19,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,"{4b0000, 12V_B_IMON4[11:8]}",12V_B_IMON4[7:0],"{4b0000, 12V_B_IMON3[11:8]}",12V_B_IMON3[7:0],"Byte 8-7: Reserved
Byte 6-5: Reserved
Byte 4-3: 12V B Module 4 Current (12V_B_IMON4), 12-BIT
Byte 2-1: 12V B Module 3 Current (12V_B_IMON3), 12-BIT",12-bit,unsigned,,
,0x13,Telemetry Group 20,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,"{4b0000, MB_SP_IMON[11:8]}",MB_SP_IMON[7:0],"{4b0000, HV_OR[11:8]}",HV_OR[7:0],"Byte 8-7: Reserved
Byte 6-5: Reserved
Byte 4-3: Spare Motor Bus Current (MB_SP_IMON), 12-BIT
Byte 2-1: Battery HV_OR voltage (HV_OR), 12-BIT",12-bit,unsigned,,
,0x14,Telemetry Group 21,8,4,Read Only,N/A,RSVD,RSVD,"{4b0000, TEMP2[11:8]}",TEMP2[7:0],"{4b0000, TEMP1[11:8]}",TEMP1[7:0],"{4b0000, TEMP0[11:8]}",TEMP0[7:0],"Byte 8-7: Reserved
Byte 6-5: Temperature Sensor 2 (TEMP2), 12-BIT
Byte 4-3: Temperature Sensor 1 (TEMP1), 12-BIT
Byte 2-1: Temperature Sensor 0 (TEMP0), 12-BIT",12-bit,unsigned,,
,0x15,Telemetry Group 22,8,4,Read Only,N/A,RSVD,RSVD,"{4b0000, TEMP5[11:8]}",TEMP5[7:0],"{4b0000, TEMP4[11:8]}",TEMP4[7:0],"{4b0000, TEMP3[11:8]}",TEMP3[7:0],"Byte 8-7: Reserved
Byte 6-5: Temperature Sensor 5 (TEMP5), 12-BIT
Byte 4-3: Temperature Sensor 4 (TEMP4), 12-BIT
Byte 2-1: Temperature Sensor 3 (TEMP3), 12-BIT",12-bit,unsigned,,
,0x16,Telemetry Group 23,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,"{4b0000, EX_TEMP1[11:8]}",EX_TEMP1[7:0],"{4b0000, EX_TEMP0[11:8]}",EX_TEMP0[7:0],"Byte 8-7: Reserved
Byte 6-5: Reserved
Byte 4-3: External Temperature Sensor 1 (EX_TEMP1), 12-BIT
Byte 2-1: External Temperature Sensor 0 (EX_TEMP0), 12-BIT",12-bit,unsigned,,
,0x17,Telemetry Group 24,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,"{4b0000, LIDAR_B_12V[11:8]}",LIDAR_B_12V[7:0],"{4b0000, LIDAR_A_12V[11:8]}",LIDAR_A_12V[7:0],"Byte 8-7: Reserved
Byte 6-5: Reserved
Byte 4-3: LIDAR B Bus Voltage (LIDAR_B_12V), 12-BIT
Byte 2-1: LIDAR A Bus Voltage (LIDAR_A_12V), 12-BIT",12-bit,unsigned,,
,0x18,Telemetry Group 25,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,"{4b0000, CHG_HVIL_OUT[11:8]}",CHG_HVIL_OUT[7:0],"{4b0000, STO_24V[11:8]}",STO_24V[7:0],"Byte 8-7: Reserved
Byte 6-5: Reserved
Byte 4-3: Charger Interlock Voltage (CHG_HVIL_OUT), 12-BIT
Byte 2-1: STO Voltage (STO_24V), 12-BIT",12-bit,unsigned,,
,0x19,Telemetry Group 26,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,"{4b0000, ETH_1.2V[11:8]}",ETH_1.2V[7:0],"{4b0000, ETH_2.5V[11:8]}",ETH_2.5V[7:0],"Byte 8-7: Reserved
Byte 6-5: Reserved
Byte 4-3: Ethernet 1.2V Voltage (ETH_1.2V), 12-BIT
Byte 2-1: Ethernet 2.5V Voltage (ETH_2.5V ), 12-BIT",12-bit,unsigned,,
,0x1A,Telemetry Group 27,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,"{4b0000, ECAT_1.2V[11:8]}",ECAT_1.2V[7:0],"{4b0000, ECAT_3.3V[11:8]}",ECAT_3.3V[7:0],"Byte 8-7: Reserved
Byte 6-5: Reserved
Byte 4-3: EtherCAT 1.2V Voltage (ECAT_1.2V), 12-BIT
Byte 2-1: EtherCAT 3.3V Voltage (ECAT_3.3V ), 12-BIT",12-bit,unsigned,,
Command and Statuses,0x1B,"Power Good Detection from Comparator
(COMP_PDG)",8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,RSVD,"{5b00000, ROBOT_STO, MB_USER, MB_NK}","{TR_J2J3, TR_J1, RA_J2J7, RA_J1, LA_J2J7, LA_J1, RL_J5J6, RL_J4}","{RL_J3, RL_J2, RL_J1, LL_J5J6, LL_J4, LL_J3, LL_J2, LL_J1}","Byte 8-4: Reserved
Byte 3: {5b00000, ROBOT_STO, MB_USER, MB_NK}
Byte 2: {TR_J2J3, TR_J1, RA_J2J7, RA_J1, LA_J2J7, LA_J1, RL_J5J6, RL_J4}
Byte 1: {RL_J3, RL_J2, RL_J1, LL_J5J6, LL_J4, LL_J3, LL_J2, LL_J1}",,BIt Mapped,,
,0x1C,Power Good and Fault Group 1,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,RSVD,"{6b000000, IO0_P4.1, IO0_P4.0}","{MB_RA_FLTn, MB_RL_FLTn, MB_LA_FLTn, MB_LL_FLTn, MB_TR_FLTn, MB_SP_FLTn, MB_NK_FLTn, 12V_B_PGD}","{3b000, CHG_FLTn, BATT1_FLTn, BATT2_FLTn, MOT_BUS_FLTn, USER_HV_FLTn}","Byte 8-4: Reserved
Byte 3: {6b000000, IO0_P4.1, IO0_P4.0}
Byte 2: {MB_RA_FLTn, MB_RL_FLTn, MB_LA_FLTn, MB_LL_FLTn, MB_TR_FLTn, MB_SP_FLTn, MB_NK_FLTn, 12V_B_PGD}
Byte 1: {3b000, CHG_FLTn, BATT1_FLTn, BATT2_FLTn, MOT_BUS_FLTn, USER_HV_FLTn}",,BIt Mapped,"IO1_P4.1: 3.3V, should read 1
IO1_P4.0: DGND, should read 0",
,0x1D,Power Good and Fault Group 2,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,RSVD,RSVD,"{6b000000, AUX_12V_FLTn, AUX_12V_PG}","{PC_24V_FLTn, AUX_24V_FLTn, USER_24V_FLTn, 1b0, PC_A_12V_PG, PC_A_12_FLTn, PC_B_12V_PG, PC_B_12V_FLTn}","Byte 8-3: Reserved
Byte 2: {6b000000, AUX_12V_FLTn, AUX_12V_PG}
Byte 1: {PC_24V_FLTn, AUX_24V_FLTn, USER_24V_FLTn, 1b0, PC_A_12V_PG, PC_A_12_FLTn, PC_B_12V_PG, PC_B_12V_FLTn}",,BIt Mapped,,
,0x1E,Power Good and Fault Group 3,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,RSVD,RSVD,"{6b000000, IO1_P4.1, IO1_P4.0}","{24V_PGD, 12V_PGD, 5V_PGD, GPIO_EX_ADC0, GPIO_EX_ADC1, GPIO_EX_ADC2, BATT1_OCn, BATT2_OCn}","Byte 8-4: Reserved
Byte 3: Reserved
Byte 2: {6b000000, IO1_P4.1, IO1_P4.0}
Byte 1: {24V_PGD, 12V_PGD, 5V_PGD, GPIO_EX_ADC0, GPIO_EX_ADC1, GPIO_EX_ADC2, BATT1_OCn, BATT2_OCn}",,BIt Mapped,"IO1_P4.1: DGND, should read 0
IO1_P4.0: 3.3V, should read 1",
,0x1F,Power Enable Group 1,8,4,Read/Write,0x1FA - Byte 2 - Bit 0,RSVD,RSVD,RSVD,RSVD,RSVD,RSVD,RSVD,"{ESC_EEPROM_WC1n, ESC_EEPROM_WC2n, ESC_EEPROM_WC3n, 1b0, PC_24V_IGNITE, PC_A_12V_IGNITE, PC_B_12V_IGNITE, Parity Bit}","Byte 8-4: Reserved
Byte 3: Reserved
Byte 2: Reserved
Byte 1: {ESC_EEPROM_WC1n, ESC_EEPROM_WC2n, ESC_EEPROM_WC3n, 1b0, PC_24V_IGNITE, PC_A_12V_IGNITE, PC_B_12V_IGNITE, Parity Bit}",,BIt Mapped,,
,0x20,Power Enable Group 2,8,4,Read/Write,"0x1FA - Byte 3 - Bit 2, 1, 0",RSVD,RSVD,RSVD,RSVD,RSVD,"{AUX_12V_EN, MCU_ALARM_EN, ECAT_ENn, ETH_ENn, ESC_RST, ESTOP_REC_A_12V_EN, ESTOP_REC_B_12V_EN, Parity Bit}","{STO_24V_EN, PC_A_12V_EN, PC_B_12V_EN, LIDAR_A_12V_EN, LIDAR_B_12V_EN, MCU_STO_EN, USER_HV_ON, Parity Bit}","{24V_EN, 12V_EN, 12V_B_EN, 5V_EN, PC_24V_ON, AUX_24V_ON, USER_24V_ON, Parity Bit}","Byte 8-4: Reserved
Byte 3: {AUX_12V_EN, MCU_ALARM_EN, ECAT_ENn, ETH_ENn, ESC_RST, ESTOP_REC_A_12V_EN, ESTOP_REC_B_12V_EN, Parity Bit}
Byte 2: {STO_24V_EN, PC_A_12V_EN, PC_B_12V_EN, LIDAR_A_12V_EN, LIDAR_B_12V_EN, MCU_STO_EN, USER_HV_ON, Parity Bit}
Byte 1: {24V_EN, 12V_EN, 12V_B_EN, 5V_EN, PC_24V_ON, AUX_24V_ON, USER_24V_ON, Parity Bit}",,BIt Mapped,,
,0x21,Power Enable Group 3,8,4,Read/Write,"0x1FA - Byte 4 - Bit 3, 2, 1, 0",RSVD,RSVD,RSVD,RSVD,"{2b00, CHG_REM_ON, CHG_REM_PG, MOT_BUS_RELAY_CTRL, BATT2_RELAY_CTRL, BATT1_RELAY_CTRL, Parity Bit}","{4b0000, BATT1_EN, BATT1_INP1, BATT1_INP2, Parity Bit}","{4b0000, BATT2_EN, BATT2_INP1, BATT2_INP2, Parity Bit}","{4b0000, MOT_BUS_EN, MOT_BUS_INP1, MOT_BUS_INP2, Parity Bit}","Byte 8-5: Reserved
Byte 4: {2b00, CHG_REM_ON, CHG_REM_PG, MOT_BUS_RELAY_CTRL, BATT2_RELAY_CTRL, BATT1_RELAY_CTRL, Parity Bit}
Byte 3: {4b0000, BATT1_EN, BATT1_INP1, BATT1_INP2, Parity Bit}
Byte 2: {4b0000, BATT2_EN, BATT2_INP1, BATT2_INP2, Parity Bit}
Byte 1: {4b0000, MOT_BUS_EN, MOT_BUS_INP1, MOT_BUS_INP2, Parity Bit}",,BIt Mapped,,
,0x22,Peripheral Inputs,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,RSVD,RSVD,RSVD,"{MCU_PB_OUT, MCU_ESTOP_SW_OUT, CHG_HVIL_OUT_DET, MCU_ESTOP1_B, MCU_ESTOP1_B, PC_OUT2, PC_OUT1, PC_OUT0}","Byte 8-2: Reserved
Byte 1: {MCU_PB_OUT, MCU_ESTOP_SW_OUT, CHG_HVIL_OUT_DET, MCU_ESTOP1_B, MCU_ESTOP1_B, PC_OUT2, PC_OUT1, PC_OUT0}",,BIt Mapped,,
,0x23,Power Enable Group 4,8,4,Read/Write,"0x1FA - Byte 5 - Bit 2, 1, 0",RSVD,RSVD,RSVD,RSVD,RSVD,"{3b000, PANEL_LED3, PANEL_LED2, PANEL_LED1, PANEL_LED0, Parity Bit}","{2b00, 3.3V_ISO_CTRL4, 3.3V_ISO_CTRL3, 3.3V_ISO_CTRL2, 3.3V_ISO_CTRL1, 3.3V_ISO_CTRL0, Parity Bit}","{4b0000, PC_IN2, PC_IN1, PC_IN0, Parity Bit}","Byte 8-4: Reserved
Byte 3: {3b000, PANEL_LED3, PANEL_LED2, PANEL_LED1, PANEL_LED0, Parity Bit}
Byte 2: {2b00, 3.3V_ISO_CTRL4, 3.3V_ISO_CTRL3, 3.3V_ISO_CTRL2, 3.3V_ISO_CTRL1, 3.3V_ISO_CTRL0, Parity Bit}
Byte 1: {4b0000,  PC_IN2, PC_IN1, PC_IN0, Parity Bit}",,BIt Mapped,,
,,,,,,,,,,,,,,,,,,,
Calibration - Offsets,0x30,ADC Offset Group 1,8,4,Read/Write,0x1FA - Byte 1 - Bit 1,RSVD,RSVD,BATT2_CURR_OFS[15:8],BATT2_CURR_OFS[7:0],BATT1_CURR_OFS[15:8],BATT1_CURR_OFS[7:0],CHG_CURR_OFS[15:8],CHG_CURR_OFS[7:0],"Byte 8-7: Reserved
Byte 6-5: Battery 2 Current Offset (BATT2_CURR_OFS), 16-BIT
Byte 4-3: Battery 1 Current Offset (BATT1_CURR_OFS), 16-BIT
Byte 2-1: Charger Current Offset (CHG_CURR_OFS), 16-BIT",16-bit,signed,"Calibrated Values = (Raw values - Offset) * Scale / 4095, where 4095 = 2^12-1",
,0x31,ADC Offset Group 2,8,4,Read/Write,0x1FA - Byte 1 - Bit 1,RSVD,RSVD,LA_IMON_OFS[15:8],LA_IMON_OFS[7:0],RL_IMON_OFS[15:8],RL_IMON_OFS[7:0],LL_IMON_OFS[15:8],LL_IMON_OFS[7:0],"Byte 8-7: Reserved
Byte 6-5: Left Arm Current Offset (LA_IMON_OFS), 16-BIT
Byte 4-3: Right Leg Current Offset (RL_IMON_OFS), 16-BIT
Byte 2-1: Left Leg Current Offset (LL_IMON_OFS), 16-BIT",16-bit,signed,,
,0x32,ADC Offset Group 3,8,4,Read/Write,0x1FA - Byte 1 - Bit 1,RSVD,RSVD,CHG_IN_OFS[15:8],CHG_IN_OFS[7:0],TR_IMON_OFS[15:8],TR_IMON_OFS[7:0],RA_IMON_OFS[15:8],RA_IMON_OFS[7:0],"Byte 8-7: Reserved
Byte 6-5: Charger Input Voltage Offset (CHG_IN_OFS), 16-BIT
Byte 4-3: Pelvis/Waist Current Offset (TR_IMON_OFS), 16-BIT
Byte 2-1: Right Arm Current Offset (RA_IMON_OFS), 16-BIT",16-bit,signed,,
,0x33,ADC Offset Group 4,8,4,Read/Write,0x1FA - Byte 1 - Bit 1,RSVD,RSVD,BATT2_IN_OFS[15:8],BATT2_IN_OFS[7:0],BATT1_IN_OFS[15:8],BATT1_IN_OFS[7:0],HV_OFS[15:8],HV_OFS[7:0],"Byte 8-7: Reserved
Byte 6-5: Battery 2 Input Voltage Offset (BATT2_IN_OFS), 16-BIT
Byte 4-3: Battery 1 Input Voltage Offset (BATT1_IN_OFS), 16-BIT
Byte 2-1: High Voltage Bus Voltage Offset (HV_OFS), 16-BIT",16-bit,signed,,
,0x34,ADC Offset Group 5,8,4,Read/Write,0x1FA - Byte 1 - Bit 1,RSVD,RSVD,CHG_HV_OFS[15:8],CHG_HV_OFS[7:0],MOT_BUS_OFS[15:8],MOT_BUS_OFS[7:0],NK_IMON_OFS[15:8],NK_IMON_OFS[7:0],"Byte 8-7: Reserved
Byte 6-5: Charger High Voltage Offset (CHG_HV_OFS), 16-BIT
Byte 4-3: Motor Bus Voltage Offset (MOT_BUS_OFS), 16-BIT
Byte 2-1: Head Current Offset (NK_IMON_OFS), 16-BIT",16-bit,signed,,
,0x35,ADC Offset Group 6,8,4,Read/Write,0x1FA - Byte 1 - Bit 1,RSVD,RSVD,RSVD,RSVD,USER_HV_CURR_OFS[15:8],USER_HV_CURR_OFS[7:0],USER_HV_OFS[15:8],USER_HV_OFS[7:0],"Byte 8-7: Reserved
Byte 6-5: Reserved
Byte 4-3: User HV Current Offset (USER_HV_CURR_OFS), 16-BIT
Byte 2-1: User HV Bus Voltage Offset (USER_HV_OFS), 16-BIT",16-bit,signed,,
,0x36,ADC Offset Group 7,8,4,Read/Write,0x1FA - Byte 1 - Bit 1,RSVD,RSVD,RSVD,RSVD,PC_24V_IMON_OFS[15:8],PC_24V_IMON_OFS[7:0],PC_24V_OFS[15:8],PC_24V_OFS[7:0],"Byte 8-7: Reserved
Byte 6-5: Reserved
Byte 4-3: PC 24V Bus Current Offset (PC_24V_IMON_OFS), 16-BIT
Byte 2-1: PC 24V Bus Voltage Offset (PC_24V_OFS), 16-BIT",16-bit,signed,,
